Player name	Game type	Positions	Outcome	Execution time	Instructions
        Gordon	1	1574419084.6185086,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.00 (angle_z: <Angle -0.00 radians (-0.11 degrees)>)> origin_id=9>;1574419135.3124895,Player found,<Pose <Position x: -3.08 y: -0.19 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.02 (angle_z: <Angle -0.03 radians (-1.99 degrees)>)> origin_id=11>;1574419185.656947,detect_cube,<Pose <Position x: -2.73 y: -0.50 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.01 (angle_z: <Angle -0.01 radians (-0.68 degrees)>)> origin_id=11>;1574419191.8342016,pickup_cube,<Pose <Position x: 91.81 y: -103.50 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.01 (angle_z: <Angle 0.03 radians (1.49 degrees)>)> origin_id=11>;1574419192.9345913,turn_left,<Pose <Position x: 70.96 y: -84.68 z: 0.00> <Quaternion q0: 0.70 q1: 0.00 q2: 0.00 q3: 0.72 (angle_z: <Angle 1.60 radians (91.54 degrees)>)> origin_id=11>;1574419196.9982116,detect_cube,<Pose <Position x: 83.01 y: -88.19 z: 0.00> <Quaternion q0: 0.89 q1: 0.00 q2: 0.00 q3: 0.45 (angle_z: <Angle 0.93 radians (53.46 degrees)>)> origin_id=11>;1574419204.9497774,place_on_object,<Pose <Position x: 121.78 y: 156.84 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.00 (angle_z: <Angle 0.01 radians (0.42 degrees)>)> origin_id=11>	False	21.84892773628235	detect_cube;pickup_cube;turn_left;detect_cube;place_on_object
        Gordon	1	1574419224.297341,Game Start,<Pose <Position x: -3.95 y: -5.75 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.02 (angle_z: <Angle -0.04 radians (-2.33 degrees)>)> origin_id=11>;1574419227.627939,Player found,<Pose <Position x: 5.18 y: -6.22 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.02 (angle_z: <Angle -0.05 radians (-2.73 degrees)>)> origin_id=11>;1574419278.8422375,detect_cube,<Pose <Position x: -0.11 y: -20.04 z: 0.00> <Quaternion q0: 0.91 q1: 0.00 q2: 0.00 q3: -0.40 (angle_z: <Angle -0.83 radians (-47.76 degrees)>)> origin_id=11>;1574419292.2236454,pickup_cube,<Pose <Position x: 100.48 y: -164.75 z: -0.13> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.08 (angle_z: <Angle 0.16 radians (8.96 degrees)>)> origin_id=11>;1574419293.6119523,turn_left,<Pose <Position x: 77.28 y: -148.37 z: -0.13> <Quaternion q0: 0.65 q1: 0.00 q2: 0.00 q3: 0.76 (angle_z: <Angle 1.73 radians (99.12 degrees)>)> origin_id=11>;1574419321.0960374,place_on_object,<Pose <Position x: 98.59 y: -159.17 z: -1.16> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.06 (angle_z: <Angle 0.12 radians (6.82 degrees)>)> origin_id=11>	False	43.50334882736206	detect_cube;pickup_cube;turn_left;place_on_object
        Gordon	0	1574419338.718147,Game Start,<Pose <Position x: 5.24 y: -8.07 z: -1.16> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.06 (angle_z: <Angle -0.13 radians (-7.20 degrees)>)> origin_id=11>;1574419346.7694106,Player found,<Pose <Position x: 12.63 y: -9.21 z: -1.16> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.05 (angle_z: <Angle -0.11 radians (-6.17 degrees)>)> origin_id=11>	None	23.924415588378906	
        Gordon	0	1574419411.8821154,Game Start,<Pose <Position x: 7.29 y: -16.12 z: -3.39> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.05 (angle_z: <Angle -0.10 radians (-5.57 degrees)>)> origin_id=11>;1574419416.189771,Player found,<Pose <Position x: 14.90 y: -22.10 z: -3.39> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: -0.14 (angle_z: <Angle -0.29 radians (-16.58 degrees)>)> origin_id=11>	None	9.176620960235596	
        Gordon	0	1574419553.8728077,Game Start,<Pose <Position x: 26.05 y: -31.79 z: -3.39> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: -0.14 (angle_z: <Angle -0.29 radians (-16.56 degrees)>)> origin_id=11>;1574419556.836409,Player found,<Pose <Position x: 24.24 y: -29.36 z: -3.39> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.08 (angle_z: <Angle -0.17 radians (-9.74 degrees)>)> origin_id=11>	None	50.406877756118774	
        Gordon	0	1574419656.8973145,Game Start,<Pose <Position x: 12.45 y: -34.83 z: -4.54> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.09 (angle_z: <Angle -0.18 radians (-10.21 degrees)>)> origin_id=11>;1574419664.5947604,Player found,<Pose <Position x: 17.56 y: -30.97 z: -4.54> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.01 (angle_z: <Angle 0.03 radians (1.57 degrees)>)> origin_id=11>	True	64.93085861206055	
        Gordon	1	1574419765.0348923,Game Start,<Pose <Position x: 10.24 y: -30.30 z: -4.54> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.01 (angle_z: <Angle 0.02 radians (0.96 degrees)>)> origin_id=11>;1574419773.7811625,Player found,<Pose <Position x: 20.03 y: -31.67 z: -4.54> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.03 (angle_z: <Angle -0.05 radians (-2.97 degrees)>)> origin_id=11>;1574419834.0968232,detect_cube,<Pose <Position x: 20.06 y: -30.91 z: -4.54> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.00 (angle_z: <Angle -0.00 radians (-0.07 degrees)>)> origin_id=11>;1574419882.7954042,pickup_cube,<Pose <Position x: 428.18 y: -99.52 z: -5.10> <Quaternion q0: 0.96 q1: 0.00 q2: 0.00 q3: 0.28 (angle_z: <Angle 0.56 radians (32.25 degrees)>)> origin_id=11>;1574419884.18732,turn_left,<Pose <Position x: 400.75 y: -94.13 z: -5.10> <Quaternion q0: 0.48 q1: 0.00 q2: 0.00 q3: 0.88 (angle_z: <Angle 2.14 radians (122.38 degrees)>)> origin_id=11>;1574419885.9237258,detect_cube,<Pose <Position x: 414.01 y: -90.90 z: -5.10> <Quaternion q0: 0.76 q1: 0.00 q2: 0.00 q3: 0.65 (angle_z: <Angle 1.42 radians (81.49 degrees)>)> origin_id=11>;1574419907.5889518,place_on_object,<Pose <Position x: 278.46 y: 188.69 z: -5.04> <Quaternion q0: 0.99 q1: 0.00 q2: 0.00 q3: 0.12 (angle_z: <Angle 0.23 radians (13.28 degrees)>)> origin_id=11>	False	76.33458423614502	detect_cube;pickup_cube;turn_left;detect_cube;place_on_object
        Cardon	0	1574420095.372452,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.01 (angle_z: <Angle -0.02 radians (-1.15 degrees)>)> origin_id=19>;1574420109.2395594,Player found,<Pose <Position x: 7.39 y: -5.20 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.10 (angle_z: <Angle -0.20 radians (-11.42 degrees)>)> origin_id=19>	True	31.325414657592773	
        Cardon	1	1574420269.0112612,Game Start,<Pose <Position x: 0.00 y: 0.00 z: -0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: 0.02 (angle_z: <Angle 0.04 radians (2.32 degrees)>)> origin_id=21>;1574420273.3556755,Player found,<Pose <Position x: -3.05 y: -2.16 z: -0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.05 (angle_z: <Angle -0.11 radians (-6.15 degrees)>)> origin_id=21>;1574420309.8360822,detect_cube,<Pose <Position x: -1.81 y: -2.46 z: -0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.05 (angle_z: <Angle -0.10 radians (-5.81 degrees)>)> origin_id=21>;1574420317.4374983,approach_cube,<Pose <Position x: 213.98 y: -88.11 z: -0.00> <Quaternion q0: 0.98 q1: 0.00 q2: 0.00 q3: -0.18 (angle_z: <Angle -0.36 radians (-20.86 degrees)>)> origin_id=21>	False	10.283015012741089	detect_cube;approach_cube
        Alexandre Bulfay	0	1574420916.0584378,Game Start,<Pose <Position x: 0.00 y: 0.00 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.01 (angle_z: <Angle -0.01 radians (-0.62 degrees)>)> origin_id=29>;1574420920.8118424,Player found,<Pose <Position x: 8.53 y: -0.30 z: 0.00> <Quaternion q0: 1.00 q1: 0.00 q2: 0.00 q3: -0.02 (angle_z: <Angle -0.03 radians (-1.90 degrees)>)> origin_id=29>	True	39.65304446220398	
